POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,TARGET(PRICE_IN_LACS)
0,0,0,2,1,1300.236407,1,1,55.0
1,0,0,2,1,1275.0,1,1,51.0
0,0,0,2,1,933.1597222,1,1,43.0
0,0,1,2,1,929.9211427,1,1,62.5
1,1,0,2,1,999.009247,0,1,60.5
0,0,0,3,1,1250.0,1,1,42.0
1,0,0,3,1,1495.053957,1,1,66.5
0,0,1,3,1,1181.012946,1,1,52.0
1,0,1,2,1,1040.0,1,1,41.6
0,0,1,2,1,879.1208791000001,1,1,36.0
0,0,0,3,1,1350.308642,1,1,35.0
1,0,0,2,1,1333.010179,1,1,110.0
0,0,0,2,1,927.1779023,1,1,48.0
0,0,1,2,1,1122.1719460000002,1,1,62.0
0,0,0,1,1,649.9837504,1,1,20.0
1,1,1,3,1,1394.117647,0,1,71.1
0,0,0,3,1,1800.08471,1,1,85.0
1,1,1,3,1,2124.896706,0,1,180.0
0,0,0,2,1,1100.0,1,1,22.0
1,0,1,3,1,2178.649237,1,1,120.0
0,0,0,2,1,881.1435285,1,1,45.0
1,0,0,2,1,944.8818898,1,1,42.0
1,0,1,3,1,1310.147689,1,1,55.0
1,0,0,1,1,630.00063,1,1,300.0
1,0,0,2,1,1219.80971,1,1,50.0
0,0,0,2,1,780.141844,1,1,27.5
0,0,0,3,1,1600.0,1,1,46.0
1,0,0,2,1,1180.412371,1,1,22.9
0,1,0,2,1,1000.0,0,1,39.0
1,0,0,2,1,1000.0,1,1,12.5
1,0,0,3,1,1400.107701,1,1,52.0
1,0,1,2,1,943.1266076,1,1,33.0
0,0,0,2,1,1150.146382,1,1,55.0
1,1,1,1,1,864.0674393999999,0,1,82.0
1,0,1,2,1,857.7861968000001,1,0,240.0
0,0,0,3,1,1174.210077,1,1,55.0
1,1,1,2,1,1020.087884,0,1,65.0
0,0,0,4,1,1650.165017,1,1,65.0
1,1,0,2,1,1000.0,0,1,35.0
0,0,0,3,1,1300.052002,1,1,75.0
1,1,1,1,1,40606.19568,0,0,9110.0
1,0,1,2,1,1058.114928,1,1,65.0
1,1,0,1,1,400.0,0,1,30.0
1,0,1,3,1,1274.924779,1,1,250.0
1,0,0,2,1,1026.694045,1,1,220.0
0,0,0,2,1,1150.121065,1,1,38.0
0,0,0,3,1,1200.0,1,1,60.0
1,0,0,1,0,475.0103263,1,1,46.0
2,1,1,1,1,301.91711630000003,0,0,26.3
1,1,1,2,1,1228.571429,0,1,51.6
0,0,0,2,1,986.0164934,1,1,55.0
1,1,1,3,1,1972.565158,0,1,71.9
